"_hoodie_commit_time","_hoodie_commit_seqno","_hoodie_record_key","_hoodie_partition_path","_hoodie_file_name","member_id","first_name","middle_name","last_name","contact_title","sex_unscrubbed","home_phone","business_phone","cell_phone","dob","death_date","head_of_household_name","pregnancy_date","first_covered_date","special_needs_unscrubbed","individual_no","language_unscrubbed","risk_unscrubbed","marital_status_unscrubbed","ssn","relationship_unscrubbed","ethnicity_unscrubbed","medicaid_id","medicare_id","source_id","create_timestamp","modify_timestamp","created_by","modified_by","delete_ind","loaded_from_file","medicaid_renewal_date","race_unscrubbed","ethnicity","language","marital_status","race","relationship","sex","special_needs","risk","scrubbed","id","member","exportcategory","deleted_reason","quality_fail_reason","row_hash","extract_timeseries_bucket","availability","_arcadia_source","year_bucket","deleted","lowquality","transitioned"
"20250726044446203","20250726044446203_0_0","availability:beta,source_id:1005,member_id:445347321101","availability=beta/_arcadia_source=gdclaims1005/year_bucket=1970/deleted=false/lowquality=false/transitioned=false","91590b32-9e1a-4b53-9fed-af61f6c2fecf-0_0-378-59553_20250805153948710.parquet","445347321101","JOAN","CAMPBELL","SALL",,"F","(640) 555-5902",,,"1942-12-19 00:00:00.000",,,,,,"0OF0M66SH19","ENG",,,,"M",,,,"1005","2024-11-18 17:52:53.000","2025-07-25 20:03:13.000","generated_data","generated_data","0","2024_11_18_000000_claims1005_planmember_00094.csv.gz_2024_11_18_000000_claims1005_planmember_00094.csv.gz.1732128036992",,,,"ENGLISH",,,"SUBSCRIBER","F",,,"1","urn:doid:arcadia.io:planmember!arcgd.1005.445347321101","urn:doid:arcadia.io:member!arcgd.1005.445347321101","511",,,"-2131892291","1970-01","beta","gdclaims1005","1970","false","false","false"
"20250726044446203","20250726044446203_0_1","availability:beta,source_id:1005,member_id:683445652286","availability=beta/_arcadia_source=gdclaims1005/year_bucket=1970/deleted=false/lowquality=false/transitioned=false","91590b32-9e1a-4b53-9fed-af61f6c2fecf-0_0-378-59553_20250805153948710.parquet","683445652286","EDITH","INDIGO","GLUSKIN",,"F","(203) 555-6992",,,"1953-01-09 00:00:00.000",,,,,,"3FC6MZ1DW58","ENG",,,,"M",,,,"1005","2024-11-18 17:52:53.000","2025-07-25 20:03:13.000","generated_data","generated_data","0","2024_11_18_000000_claims1005_planmember_00077.csv.gz_2024_11_18_000000_claims1005_planmember_00077.csv.gz.1732128035972",,,,"ENGLISH",,,"SUBSCRIBER","F",,,"1","urn:doid:arcadia.io:planmember!arcgd.1005.683445652286","urn:doid:arcadia.io:member!arcgd.1005.683445652286","511",,,"-1900036043","1970-01","beta","gdclaims1005","1970","false","false","false"
"20250726044446203","20250726044446203_0_2","availability:beta,source_id:1005,member_id:245333370261","availability=beta/_arcadia_source=gdclaims1005/year_bucket=1970/deleted=false/lowquality=false/transitioned=false","91590b32-9e1a-4b53-9fed-af61f6c2fecf-0_0-378-59553_20250805153948710.parquet","245333370261","HOLLY","JULES","GAETANO",,"F","(640) 555-6113",,,"1962-04-02 00:00:00.000",,,,,,"9LA0NY4CF93","ENG",,,,"M",,,,"1005","2024-11-18 17:52:53.000","2025-07-25 20:03:13.000","generated_data","generated_data","0","2024_11_18_000000_claims1005_planmember_00090.csv.gz_2024_11_18_000000_claims1005_planmember_00090.csv.gz.1732128036981",,,,"ENGLISH",,,"SUBSCRIBER","F",,,"1","urn:doid:arcadia.io:planmember!arcgd.1005.245333370261","urn:doid:arcadia.io:member!arcgd.1005.245333370261","511",,,"-832546946","1970-01","beta","gdclaims1005","1970","false","false","false"
"20250726044446203","20250726044446203_0_3","availability:beta,source_id:1005,member_id:355880052012","availability=beta/_arcadia_source=gdclaims1005/year_bucket=1970/deleted=false/lowquality=false/transitioned=false","91590b32-9e1a-4b53-9fed-af61f6c2fecf-0_0-378-59553_20250805153948710.parquet","355880052012","SANFORD","FRANKY","MORALDE",,"M","(585) 555-2584",,,"1947-04-17 00:00:00.000",,,,,,"4LC4E15VG46","ENG",,,,"M",,,,"1005","2024-11-18 17:52:53.000","2025-07-25 20:03:13.000","generated_data","generated_data","0","2024_11_18_000000_claims1005_planmember_00058.csv.gz_2024_11_18_000000_claims1005_planmember_00058.csv.gz.1732128035336",,,,"ENGLISH",,,"SUBSCRIBER","M",,,"1","urn:doid:arcadia.io:planmember!arcgd.1005.355880052012","urn:doid:arcadia.io:member!arcgd.1005.355880052012","511",,,"2077643450","1970-01","beta","gdclaims1005","1970","false","false","false"
"20250726044446203","20250726044446203_0_4","availability:beta,source_id:1005,member_id:313857571083","availability=beta/_arcadia_source=gdclaims1005/year_bucket=1970/deleted=false/lowquality=false/transitioned=false","91590b32-9e1a-4b53-9fed-af61f6c2fecf-0_0-378-59553_20250805153948710.parquet","313857571083","AUSTEN","LOUIE","DESARO",,"M","(640) 555-5231",,,"1949-04-09 00:00:00.000",,,,,,"4ZO1R87IZ71","ENG",,,,"M",,,,"1005","2024-11-18 17:52:53.000","2025-07-25 20:03:13.000","generated_data","generated_data","0","2024_11_18_000000_claims1005_planmember_00078.csv.gz_2024_11_18_000000_claims1005_planmember_00078.csv.gz.1732128036244",,,,"ENGLISH",,,"SUBSCRIBER","M",,,"1","urn:doid:arcadia.io:planmember!arcgd.1005.313857571083","urn:doid:arcadia.io:member!arcgd.1005.313857571083","511",,,"-849822667","1970-01","beta","gdclaims1005","1970","false","false","false"
"20250726044446203","20250726044446203_0_5","availability:beta,source_id:1005,member_id:209641581469","availability=beta/_arcadia_source=gdclaims1005/year_bucket=1970/deleted=false/lowquality=false/transitioned=false","91590b32-9e1a-4b53-9fed-af61f6c2fecf-0_0-378-59553_20250805153948710.parquet","209641581469","LLOYD","ADRIAN","DESARO",,"M","(959) 555-0285",,,"1953-03-07 00:00:00.000",,,,,,"9G56TB2JJ31","ENG",,,,"M",,,,"1005","2024-11-18 17:52:53.000","2025-07-25 20:03:13.000","generated_data","generated_data","0","2024_11_18_000000_claims1005_planmember_00075.csv.gz_2024_11_18_000000_claims1005_planmember_00075.csv.gz.1732128035950",,,,"ENGLISH",,,"SUBSCRIBER","M",,,"1","urn:doid:arcadia.io:planmember!arcgd.1005.209641581469","urn:doid:arcadia.io:member!arcgd.1005.209641581469","511",,,"433629962","1970-01","beta","gdclaims1005","1970","false","false","false"
"20250726044446203","20250726044446203_0_6","availability:beta,source_id:1005,member_id:634246140540","availability=beta/_arcadia_source=gdclaims1005/year_bucket=1970/deleted=false/lowquality=false/transitioned=false","91590b32-9e1a-4b53-9fed-af61f6c2fecf-0_0-378-59553_20250805153948710.parquet","634246140540","ORLANDO","FRANKY","RIEBEN",,"M","(640) 555-4210",,,"1952-01-09 00:00:00.000",,,,,,"1HI6U13JN35","ENG",,,,"M",,,,"1005","2024-11-18 17:52:53.000","2025-07-25 20:03:13.000","generated_data","generated_data","0","2024_11_18_000000_claims1005_planmember_00027.csv.gz_2024_11_18_000000_claims1005_planmember_00027.csv.gz.1732128034365",,,,"ENGLISH",,,"SUBSCRIBER","M",,,"1","urn:doid:arcadia.io:planmember!arcgd.1005.634246140540","urn:doid:arcadia.io:member!arcgd.1005.634246140540","511",,,"1278574130","1970-01","beta","gdclaims1005","1970","false","false","false"
"20250726044446203","20250726044446203_0_7","availability:beta,source_id:1005,member_id:546972177357","availability=beta/_arcadia_source=gdclaims1005/year_bucket=1970/deleted=false/lowquality=false/transitioned=false","91590b32-9e1a-4b53-9fed-af61f6c2fecf-0_0-378-59553_20250805153948710.parquet","546972177357","LOUELLA","FRANKI","KNISELY",,"F","(857) 555-4470",,,"1955-04-22 00:00:00.000",,,,,,"8O98DU5EP09","ENG",,,,"M",,,,"1005","2024-11-18 17:52:53.000","2025-07-25 20:03:13.000","generated_data","generated_data","0","2024_11_18_000000_claims1005_planmember_00047.csv.gz_2024_11_18_000000_claims1005_planmember_00047.csv.gz.1732128034961",,,,"ENGLISH",,,"SUBSCRIBER","F",,,"1","urn:doid:arcadia.io:planmember!arcgd.1005.546972177357","urn:doid:arcadia.io:member!arcgd.1005.546972177357","511",,,"-1800846580","1970-01","beta","gdclaims1005","1970","false","false","false"
"20250726044446203","20250726044446203_0_8","availability:beta,source_id:1005,member_id:445978420493","availability=beta/_arcadia_source=gdclaims1005/year_bucket=1970/deleted=false/lowquality=false/transitioned=false","91590b32-9e1a-4b53-9fed-af61f6c2fecf-0_0-378-59553_20250805153948710.parquet","445978420493","NORA","HILARY","LACIVITA",,"F","(959) 555-6083",,,"1942-08-16 00:00:00.000",,,,,,"5J29N64QF13","ENG",,,,"M",,,,"1005","2024-11-18 17:52:53.000","2025-07-25 20:03:13.000","generated_data","generated_data","0","2024_11_18_000000_claims1005_planmember_00041.csv.gz_2024_11_18_000000_claims1005_planmember_00041.csv.gz.1732128034876",,,,"ENGLISH",,,"SUBSCRIBER","F",,,"1","urn:doid:arcadia.io:planmember!arcgd.1005.445978420493","urn:doid:arcadia.io:member!arcgd.1005.445978420493","511",,,"1933977594","1970-01","beta","gdclaims1005","1970","false","false","false"
"20250726044446203","20250726044446203_0_9","availability:beta,source_id:1005,member_id:822421131379","availability=beta/_arcadia_source=gdclaims1005/year_bucket=1970/deleted=false/lowquality=false/transitioned=false","91590b32-9e1a-4b53-9fed-af61f6c2fecf-0_0-378-59553_20250805153948710.parquet","822421131379","FLORENCE","HILARY","BLANN",,"F","(640) 555-7212",,,"1938-10-01 00:00:00.000",,,,,,"5SU6U65TN64","ENG",,,,"M",,,,"1005","2024-11-18 17:52:53.000","2025-07-25 20:03:13.000","generated_data","generated_data","0","2024_11_18_000000_claims1005_planmember_00095.csv.gz_2024_11_18_000000_claims1005_planmember_00095.csv.gz.1732128036918",,,,"ENGLISH",,,"SUBSCRIBER","F",,,"1","urn:doid:arcadia.io:planmember!arcgd.1005.822421131379","urn:doid:arcadia.io:member!arcgd.1005.822421131379","511",,,"-1192296033","1970-01","beta","gdclaims1005","1970","false","false","false"
